chat_id,название,источники
-72819209448869,Абакан и Хакасия в MAX,
-72819216461221,Альметьевск в MAX,
-72819224260005,Ангарск в MAX,
-72819232976293,Арзамас в MAX,
-72819241037221,Армавир в MAX,
-72819250146725,Артём в MAX,
-72819258207653,Архангельск в MAX,
-72819266203045,Астрахань в MAX,
-72819274526117,Ачинск в MAX,
-72819282587045,Балаково в MAX,
-72819291499941,Балашиха в MAX,
-72819300543909,Барнаул в MAX,
-72819308473765,Батайск в MAX,
-72819316141477,Белгород в MAX,
-72819323809189,Березники в MAX,
-72819332001189,Бийск в MAX,
-72819340586405,Благовещенск в MAX,
-72819349564837,Братск в MAX,
-72819356904869,Брянск в MAX,
-72819364375973,Великие Луки в MAX,
-72820586818981,Великий Новгород в MAX,
-72820634725797,Видное в MAX,
-72820658449829,Владивосток в MAX,
-72819906620837,Владикавказ в MAX,
-72819915533733,Владимир в MAX,
-72819923398053,Волгоград в MAX,
-72819931262373,Волгодонск в MAX,
-72819937684901,Волжский в MAX,
-72819945680293,Вологда в MAX,
-72819953675685,Воронеж в MAX,
-72819961408933,Воткинск в MAX,
-72819969338789,Гатчина в MAX,
-72819976940965,Глазов в MAX,
-72819984280997,Губкин в MAX,
-72819990900133,Дзержинск в MAX,
-72819998371237,Домодедово в MAX,
-72820005711269,Донецк в MAX,
-72820012592549,Екатеринбург в MAX,
-72820019670437,Елец в MAX,
-72820028386725,Ессентуки в MAX,
-72820035530149,Железногорск в MAX,
-72820042476965,Жуковский в MAX,
-72822698978725,Зеленодольск в MAX,
-72821850942885,Златоуст в MAX,
-72821860183461,Иваново в MAX,
-72821868899749,Ижевск в MAX,
-72821878992293,Иркутск в MAX,
-72821888495013,Йошкар-Ола в MAX,
-72821897932197,Казань в MAX,
-72821906517413,Калининград в MAX,
-72821916609957,Калуга в MAX,
-72821926571429,Каменск-Уральский в MAX,
-72821936270757,Камышин в MAX,
-72821945445797,Кемерово в MAX,
-72821954882981,Киров в MAX,
-72821965106597,Кисловодск в MAX,
-72821976051109,Климовск в MAX,
-72821986143653,Ковров в MAX,
-72821997546917,Коломна в MAX,
-72822006001061,Комсомольск-на-Амуре в MAX,
-72822016552357,Копейск в MAX,
-72822026907045,Королёв в MAX,
-72822036409765,Кострома в MAX,
-72822624529829,Красногорск в MAX,
-72822726241701,Краснодар в MAX,
-72823281069477,Красноярск в MAX,
-72823289982373,Крым в MAX,
-72823299550629,Курган в MAX,
-72823308397989,Курск и область в MAX,
-72823316589989,Кызыл в MAX,
-72823325044133,Ленинск-Кузнецкий в MAX,
-72823337299365,Липецк в MAX,
-72823346736549,Люберцы в MAX,
-72823357222309,Магнитогорск в MAX,
-72823367576997,Майкоп в MAX,
-72823377341861,Междуреченск в MAX,
-72823385796005,Миасс в MAX,
-72823396478373,Михайловск в MAX,
-72823406439845,Москва в MAX,
-72823414959525,Мурино в MAX,
-72823424920997,Мурманск в MAX,
-72823434292645,Муром в MAX,
-72823443533221,Мытищи в MAX,
-72823452904869,Набережные Челны в MAX,
-72823731891621,Нальчик в MAX,
-72823741525413,Находка в MAX,
-72823751093669,Невинномысск в MAX,
-72823760792997,Нефтекамск в MAX,
-72823770230181,Нефтеюганск в MAX,
-72823779405221,Нижневартовск в MAX,
-72823787531685,Нижнекамск в MAX,
-72823796968869,Нижний Новгород в MAX,
-72824162856357,Нижний Тагил в MAX,
-72857592049061,Новокузнецк в MAX,
-72857601617317,Новокуйбышевск в MAX,
-72857610202533,Новомосковск в MAX,
-72857618394533,Новороссийск в MAX,
-72857627831717,Новосибирск в MAX,
-72857636416933,Новочебоксарск в MAX,
-72857644740005,Новочеркасск в MAX,
-72857653390757,Новый Уренгой в MAX,
-72857662762405,Ногинск в MAX,
-72857671347621,Норильск в MAX,
-72857680129445,Ноябрьск в MAX,
-72857688386981,Обнинск в MAX,
-72857698020773,Одинцово в MAX,
-72857706802597,Октябрьский в MAX,
-72857716174245,Омск в MAX,
-72857726594469,Орел в MAX,
-72857736687013,Оренбург в MAX,
-72857747107237,Орехово-Зуево в MAX,
-72857758182821,Орск в MAX,
-72857767751077,Пенза и область в MAX,
-72859692084645,Первоуральск в MAX,
-72859725311397,Пермь в MAX,
-72859755195813,Петрозаводск в MAX,
-72858153692581,Петропавловск-Камчатский в MAX,
-72858163588517,Подольск в MAX,
-72858173812133,Прокопьевск в MAX,
-72858184428965,Псков в MAX,
-72858194980261,Пушкино в MAX,
-72858204679589,Пятигорск в MAX,
-72858213658021,Раменское в MAX,
-72858222505381,Реутов в MAX,
-72858231680421,Ростов-на-Дону в MAX,
-72858243018149,Рубцовск в MAX,
-72858252455333,Рыбинск в MAX,
-72858261695909,Рязань в MAX,
-72858271264165,Салават в MAX,
-72858281160101,Самара в MAX,
-72858290466213,Санкт-Петербург в MAX,
-72858299903397,Саранск в MAX,
-72858308881829,Сарапул в MAX,
-72858319957413,Саратов | Энгельс в MAX,
-72858330836389,Саров в MAX,
-72858340994469,Севастополь в MAX,
-72859826695589,Северодвинск в MAX,
-72859862674853,Северск в MAX,
-72859918183845,Сергиев Посад в MAX,
-72858745089445,Серпухов в MAX,
-72858755575205,Сочи в MAX,
-72858765340069,Ставрополь в MAX,
-72858775432613,Старый Оскол в MAX,
-72858785787301,Стерлитамак в MAX,
-72858795748773,Сургут в MAX,
-72858804596133,Сызрань в MAX,
-72858814295461,Сыктывкар в MAX,
-72858825698725,Таганрог в MAX,
-72858834677157,Тамбов в MAX,
-72858846145957,Тверь и область в MAX,
-72858857090469,Тобольск в MAX,
-72858866527653,Тольятти в MAX,
-72858876620197,Томск в MAX,
-72858889072037,Тула в MAX,
-72858896805285,Тюмень в MAX,
-72858906176933,Улан-Удэ в MAX,
-72858915614117,Ульяновск в MAX,
-72858923150757,Уссурийск в MAX,
-72858932784549,Уфа в MAX,
-72859964714405,Хабаровск в MAX,
-72859987914149,Ханты-Мансийск в MAX,
-72860020223397,Химки в MAX,
-72859335765413,Чебоксары в MAX,
-72859346644389,Челябинск в MAX,
-72859359423909,Череповец в MAX,
-72859373841829,Черкесск в MAX,
-72859386490277,Чита в MAX,
-72859400383909,Шахты в MAX,
-72859410279845,Щёлково в MAX,
-72859420962213,Электросталь в MAX,
-72859431054757,Элиста в MAX,
-72859441671589,Южно-Сахалинск в MAX,
-72859453861285,Якутск в MAX,
-72859463167397,Ярославль в MAX,
