channel_key,channel_id,title,link,type,status
abakan,-72819209448869,Абакан и Хакасия в MAX,https://max.ru/join/36gWrsFEuy5i_K33KvYVpuUVV9qVne1lChA5AZ0aYvQ,channel,active
achinsk,-72819274526117,Ачинск в MAX,https://max.ru/join/yvQBC7rCtX1upWwKEt5sh3omhXn8N_RbPJjZ324ZCeM,channel,active
almetevsk,-72819216461221,Альметьевск в MAX,https://max.ru/join/qw0bN93i7GxJ8ENgI-CsTqmrX-NFvdV8zj242w9L9O0,channel,active
angarsk,-72819224260005,Ангарск в MAX,https://max.ru/join/S2jWCOOn3uhfyBM6WsW4Md0xtKUNMwckITWHzUlyenk,channel,active
arkhangelsk,-72819258207653,Архангельск в MAX,https://max.ru/join/85BeaRd4wckmIn70qcAVOY0-SY2EEul1G84H91H2wuw,channel,active
armavir,-72819241037221,Армавир в MAX,https://max.ru/join/h5gGtCQB3DCsgtfAYX7ZXkf-zWKCbBJYoGi3h87Jf1c,channel,active
artyom,-72819250146725,Артём в MAX,https://max.ru/join/xGK6nBHyUxw3EOrN9R8Gnb4FasL2mFSIWwFtsZunFiw,channel,active
arzamas,-72819232976293,Арзамас в MAX,https://max.ru/join/h6Bbe0hjVwh4kLRQaPSMxhVqUOA_E56cCO_DfoUr-aA,channel,active
astrakhan,-72819266203045,Астрахань в MAX,https://max.ru/join/2_1FmA8xtx_H73f2RECy260pbkq_Mo0coHtXGPSxFsA,channel,active
balakovo,-72819282587045,Балаково в MAX,https://max.ru/join/O0-w-CSdRuSG6VCoh2k2nLt3JRSgAjYCkztC1KFaErI,channel,active
balashikha,-72819291499941,Балашиха в MAX,https://max.ru/join/xTrX60-UFDTPmqGo5m_jEhdok42PDd-6oRfqj1302vc,channel,active
barnaul,-72819300543909,Барнаул в MAX,https://max.ru/join/j5lLOkgiCs_pIyu1S_129Ly5M4piaT74yILOn8sYaes,channel,active
bataysk,-72819308473765,Батайск в MAX,https://max.ru/join/vm4dUFWSTMRmNsl6Dj3OP7bfASq1FVRhD17IcpiNj2Q,channel,active
belgorod,-72819316141477,Белгород в MAX,https://max.ru/join/OzE6KdnAWq5hlLeteRPp7WMBpsuGHuWZl8ueDyzWgHs,channel,active
berezniki,-72819323809189,Березники в MAX,https://max.ru/join/4r41i_Jy2_Ko2q2Rr8nehGOjEL2zmaEz6HxWBd6VmJ8,channel,active
biysk,-72819332001189,Бийск в MAX,https://max.ru/join/12EWDNFjHQea6Mmr1rBTOHYcZeo2WsAO-DB_p7dml1I,channel,active
blagoveschensk,-72819340586405,Благовещенск в MAX,https://max.ru/join/NDuNtHmaKogLz58fTk4tymfUpNNNq9eKcEttSlAX2bQ,channel,active
bratsk,-72819349564837,Братск в MAX,https://max.ru/join/rA2XP73M2ryDETGJ8J4rNdYrfWwazCVTdhZMNfrHqPc,channel,active
bryansk,-72819356904869,Брянск в MAX,https://max.ru/join/DlG4RMgCXhZ6vPui3uBZJeZw_Wy5m5cgAaJMEY5j9OE,channel,active
cheboksary,-72859335765413,Чебоксары в MAX,https://max.ru/join/B5W88XoN0QHOlrT9y5-Do8EDiFVHyS1XQRq2uUjjt1U,channel,active
chelyabinsk,-72859346644389,Челябинск в MAX,https://max.ru/join/PPIbSEFhMLg2lhj-w0BYyLApU4Y3KvwwpWEIjR-v258,channel,active
cherepovets,-72859359423909,Череповец в MAX,https://max.ru/join/MhXOAD9mnhif--XQ0hvzzJB_8YKH8cRmFxww_C1QNi4,channel,active
cherkessk,-72859373841829,Черкесск в MAX,https://max.ru/join/crdeDnbL_eiM2C67HUqMhu1YCoYL_ZlNuUKBkfmhfBY,channel,active
